name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,categoria,rede
SHAKE DE CHOCOLATE,2.3180737375968765,1.6225020407819735,1.703817053709043,1.0,0.0,1.6946397887160847,1.1871573998520444,1.0,0.0,4.478184336742986,0.0,0.0,0.0,0.0,SOBREMESA,blue
SHAKE DE MORANGO,2.242147831053278,1.4891087463286934,1.5474132639959224,1.0,0.0,1.595937620346239,1.1925047541335314,1.0,0.0,3.7604637593198307,0.0,0.0,0.0,0.0,SHAKE,blue
SHAKE DE BAUNILHA,2.0386664015164326,1.4891087463286934,1.5474132639959224,1.0,0.0,1.579176874774001,1.147052242740892,1.0,0.0,3.815673034506227,0.0,0.0,0.0,0.0,SHAKE,blue
SHAKE DE DOCE DE LEITE,2.393999644140475,1.6225020407819735,1.703817053709043,1.0,0.0,1.7207120596062326,1.2031994626965055,1.0,0.0,5.803206941216505,0.0,0.0,0.0,0.0,SHAKE,blue
SHAKE ESPECIAL CROCANTE,2.2968144837646687,1.5780376092975468,1.6256151588524825,1.0,0.0,1.5661407393289268,1.189831076992788,1.0,0.0,4.533393611929383,0.0,0.0,0.0,0.0,SHAKE,blue
SHAKE ESPECIAL DE BROWNIE,2.9983698602275224,2.111610787110667,2.3294322125615254,1.0,0.0,1.7523712456871265,1.2593466826521187,2.1756820644181,0.0,1.7729298526095525,0.0,0.0,0.0,0.0,SHAKE,blue
BIG MAC,2.6096292187242964,2.20053965007952,1.7820189485656033,1.3456401019665782,1.972139388824131,2.7878128610387165,1.1256628256149441,2.76352309662715,1.3135750496262724,2.3250226044735185,1.2458093523606095,1.075776511666883,2.466035097383933,3.8642150140230034,SANDUICHE DE CARNE,red
QUARTER POUNDER WITH CHEESE,2.579258856106857,2.1560752185950935,1.938422738278724,6.184601529498671,2.0865087286857937,3.048535569940196,1.1096207627704833,2.76352309662715,1.3484167218069691,2.6562782555918982,1.409682253934349,1.075776511666883,2.7592421168607197,3.8642150140230034,SANDUICHE DE CARNE,red
QUARTER POUNDER WITH BACON & CHEESE,2.822221757046373,2.2894685130483734,2.0166246331352844,6.184601529498671,2.200878068547456,3.6817192915580748,1.1283365027556875,2.76352309662715,1.4181000661683631,3.0427431818966744,1.2458093523606095,1.5683238375016217,2.466035097383933,4.437058016827604,SANDUICHE DE CARNE,red
QUARTER POUNDER WITH BACON HABANERO RANCH,2.8525921196638127,2.378397376017227,2.0166246331352844,6.184601529498671,2.200878068547456,3.197519975026756,1.1229891484742007,2.76352309662715,1.3484167218069691,3.0427431818966744,1.3277458031474791,1.757765116668829,2.466035097383933,4.437058016827604,SANDUICHE DE CARNE,red
