name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,sal,cafeína,categoria,rede
FIVE CHEESE TOASTIE,2.783880556496898,2.0203822771332147,2.0987443619336617,0.0,0.0,1.1410252206970044,1.0079363981685137,1.7431629130343032,1.8724697584622862,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
MINI HAM & CHEESE TOASTIES,2.306451942828641,1.9070064685628574,1.898972659763905,0.0,0.0,1.06680142033016,1.0079363981685137,1.5573721847757274,2.0386544743598645,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
HICKORY HAM AND CHEESE TOASTIE,2.772777565481357,2.077070181418393,2.1986302130185402,0.0,0.0,1.118758080586951,1.0158727963370273,1.3715814565171516,2.121746832308654,0.0,0.0,0.0,0.0,0.0,4.0797317055963935,0.0,OUTROS SANDUICHES,#24704D
CHICKEN & PESTO TOASTIE,2.3434619128804437,1.4535032342814287,1.3995434043395134,0.0,0.0,1.1212322072658458,1.0119045972527705,1.5573721847757274,1.9140159374366807,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
MUSHROOM & RICOTTA TOASTIE,2.2879469578027396,1.39681532999625,1.299657553254635,0.0,0.0,1.1286545873025302,1.0158727963370273,1.3715814565171516,1.4985541476927349,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
TOMATO & MOZZARELLA PANINI,2.513707775118737,1.9070064685628574,1.6992009575941482,0.0,0.0,1.118758080586951,1.0119045972527705,1.5573721847757274,1.7478312215391025,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
TUNA MELT PANINI,2.5322127601446383,1.7369427557073216,1.5993151065092701,0.0,0.0,1.118758080586951,1.0119045972527705,1.3715814565171516,1.99710829538547,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
HAM & CHEESE PANINI,2.569222730196441,1.7936306599925,1.7990868086790268,0.0,0.0,1.118758080586951,1.0079363981685137,1.3715814565171516,2.0386544743598645,0.0,0.0,0.0,0.0,0.0,4.0797317055963935,0.0,OUTROS SANDUICHES,#24704D
GLUTEN FREE HAM & CHEESE PANINI,2.2620399787664773,1.5668790428517858,1.4994292554243918,0.0,0.0,1.0989650671557927,1.0555547871795956,1.1857907282585758,1.706285042564708,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
FREE RANGE EGG & MAYO SANDWICH,2.8208905265487005,2.473885511414643,1.3995434043395134,0.0,0.0,1.1113357005502666,1.0198409954212841,1.5573721847757274,1.789377400513497,0.0,0.0,0.0,0.0,0.0,3.0531544703975957,0.0,OUTROS SANDUICHES,#24704D
